Name of Institution,Street Address,City,ZIP Code,County,Location 1
Abacus Federal Savings Bank,5518 8th Avenue,Brooklyn,11220,Kings,"5518 8th Avenue
Brooklyn, NY 11220
(40.637928, -74.007017)"
Abacus Federal Savings Bank,36-30 Main Street,Flushing,11354,Queens,"36 30 Main Street
Flushing, NY 11354"
Abacus Federal Savings Bank,6-8 Bowery,New York,10013,New York,"6 8
New York, NY 10013
(40.73733, -74.00504)"
Abacus Federal Savings Bank,104-116 Nassau Street,New York,10038,New York,"104 116 Nassau Street
New York, NY 10038
(40.710658, -74.007268)"
Access Federal Credit Union,74-76 Main Street,Camden,13316,Oneida,"74 76 Main Street
Camden, NY 13316
(43.335045, -75.748044)"
Access Federal Credit Union,6 Franklin,Clinton,13323,Oneida,"6 Franklin
Clinton, NY 13323
(43.047363, -75.38193)"
Access Federal Credit Union,2094 Glenwood Plaza,Oneida,13421,Madison,"2094 Glenwood Plaza
Oneida, NY 13421
(43.053711, -75.63242)"
Access Federal Credit Union, 230 South James Street,Rome,13440,Oneida,"230 South James Street
Rome, NY 13440
(43.208441, -75.459953)"
Access Federal Credit Union,390 West Seneca Street,Sherrill,13461,Oneida,"390 West Seneca Street
Sherrill, NY 13461
(43.075981, -75.598296)"
ACMG Federal Credit Union,1753 MILTON AVENUE,SOLVAY,13209,Onondaga,"1753 MILTON AVENUE
SOLVAY, NY 13209
(43.061027, -76.204934)"
ACMG Federal Credit Union,4800 South Salina Street ,Syracuse ,13205,Onondaga,"4800 South Salina Street
Syracuse, NY 13205
(43.000335, -76.142745)"
ACMG Federal Credit Union,4659 Onondaga Boulevard ,Syracuse ,13219,Onondaga,"4659 Onondaga Boulevard
Syracuse, NY 13219
(43.032354, -76.193566)"
Adirondack Bank,13150 State Route 12,Boonville,13309,Oneida,"13150 State Route
Boonville, NY 13309"
Adirondack Bank,214 North Washington Street,Herkimer,13350,Herkimer,"214 North Washington Street
Herkimer, NY 13350
(43.027845, -74.986159)"
Adirondack Bank,9576 Main Street,Holland Patent,13354,Oneida,"9576 Main Street
Holland Patent, NY 13354
(43.243069, -75.254445)"
Adirondack Bank,296 West Main Street,Ilion,13357,Herkimer,"296 West Main Street
Ilion, NY 13357
(43.020086, -75.046778)"
Adirondack Bank,38 Hadjis Way,Lake Placid,12946,Essex,"38 Hadjis Way
Lake Placid, NY 12946
(44.296781, -73.998895)"
Adirondack Bank,500 East Main Street,Little Falls,13365,Herkimer,"500 East Main Street
Little Falls, NY 13365
(43.043326, -74.859337)"
Adirondack Bank,29 West Main Street,Mohawk,13407,Herkimer,"29 West Main Street
Mohawk, NY 13407
(43.01112, -75.005787)"
Adirondack Bank, 4697 Commercial Drive,New Hartford,13413,Oneida,"4697 Commercial Drive
New Hartford, NY 13413
(43.089216, -75.311519)"
Adirondack Bank,108 Codling Street,Old Forge,13420,Herkimer,"108 Codling Street
Old Forge, NY 13420
(43.711849, -74.970643)"
Adirondack Bank,448 Route 3,Plattsburgh,12901,Clinton,"448 Route
Plattsburgh, NY 12901"
